ID,fdr_pval,pval,zval,Gene_Name
AARS,0.008946575,0.000246151,3.666231206,alanyl-tRNA synthetase
ALDH5A1,0.009120674,0.000251901,-3.660319606,aldehyde dehydrogenase 5 family member A1
FOXC1,0.009120674,0.000252523,-3.659687656,forkhead box C1
SCML2,0.009120674,0.00025395,-3.658242718,Scm polycomb group protein like 2
SNAP25,0.009120674,0.000254557,3.657630824,synaptosome associated protein 25
WHAMMP2 /// WHAMMP3,0.009120674,0.000253917,-3.658276233,NA
ESPN,0.009161021,0.000257136,-3.655045691,espin
SF3B5,0.009161021,0.000256451,3.655730573,splicing factor 3b subunit 5
SUV420H1,0.009192257,0.000258742,3.653448422,NA
RHBDF2,0.009318131,0.000263024,-3.64923376,rhomboid 5 homolog 2
FPGT-TNNI3K /// TNNI3K,0.009387578,0.000265728,3.646604622,NA
DHX16,0.009421612,0.000268186,3.64423745,DEAH-box helicase 16
LRP10,0.009421612,0.000267989,-3.644425805,LDL receptor related protein 10
KLHL21,0.009439617,0.000269447,-3.643030666,kelch like family member 21
PCOLCE,0.009506302,0.000272104,-3.640504874,procollagen C-endopeptidase enhancer
B4GALT2,0.009524747,0.000277341,-3.635594061,"beta-1,4-galactosyltransferase 2"
CBX3,0.009524747,0.000274225,-3.638504992,chromobox 3
HIF3A,0.009524747,0.000277848,-3.635123061,hypoxia inducible factor 3 alpha subunit
IST1,0.009524747,0.000275589,3.637226825,"IST1, ESCRT-III associated factor"
S100A4,0.009524747,0.000277996,-3.634985543,S100 calcium binding protein A4
SOX4,0.009524747,0.000278426,-3.634587155,SRY-box 4
SPATA6L,0.009524747,0.000278674,-3.634358073,spermatogenesis associated 6 like
TMF1,0.009524747,0.00027647,-3.636404881,TATA element modulatory factor 1
ALDH4A1,0.00961701,0.000282136,-3.631173381,aldehyde dehydrogenase 4 family member A1
PTGIS,0.009959415,0.00029297,-3.621437648,prostaglandin I2 synthase
AMIGO3 /// GMPPB,0.009960385,0.00029806,-3.616980216,NA
AMPH,0.009960385,0.000298533,3.616570051,amphiphysin
HSPA12A,0.009960385,0.00029528,-3.619406283,heat shock protein family A (Hsp70) member 12A
IP6K2,0.009960385,0.000298273,3.616795054,inositol hexakisphosphate kinase 2
RAB15,0.009960385,0.000293994,3.620535824,"RAB15, member RAS oncogene family"
RWDD2A,0.009960385,0.000299317,3.615890416,RWD domain containing 2A
SDAD1,0.009960385,0.000296083,-3.618702748,SDA1 domain containing 1
SLC12A7,0.009960385,0.000297025,-3.617880596,solute carrier family 12 member 7
ZNF34,0.01004516,0.000302661,3.613011721,zinc finger protein 34
C1orf61,0.010363503,0.000313836,-3.603603502,chromosome 1 open reading frame 61
MXRA8,0.010363503,0.000314357,-3.603172702,matrix remodeling associated 8
PRMT1,0.010363503,0.000314718,-3.602874195,protein arginine methyltransferase 1
BCAS2,0.010442684,0.000318226,3.599992486,"BCAS2, pre-mRNA processing factor"
CFDP1,0.010442684,0.000319606,-3.598867136,craniofacial development protein 1
P2RX5,0.010442684,0.000319166,3.599225829,purinergic receptor P2X 5
DUSP6,0.010516325,0.000322694,3.596365691,dual specificity phosphatase 6
HOXB5,0.010609247,0.000326387,-3.593403466,homeobox B5
AK6 /// TAF9,0.010675926,0.000329284,3.591100656,NA
EPB42,0.010740241,0.00033212,-3.58886581,erythrocyte membrane protein band 4.2
SENP3,0.010834538,0.000335895,-3.58591783,SUMO specific peptidase 3
FAM189A2,0.010887355,0.000338395,-3.583982,family with sequence similarity 189 member A2
PNMA3,0.01104413,0.000344144,-3.579582261,PNMA family member 3
MIR6516 /// SCARNA16 /// SNHG20,0.011093779,0.000346571,-3.577745519,NA
MAPT,0.011129721,0.000348576,-3.576236797,microtubule associated protein tau
PRRG3,0.011234771,0.000352757,-3.573117158,proline rich and Gla domain 3
DAP3,0.011360532,0.000357606,-3.569541668,death associated protein 3
GSTM3,0.011390057,0.000360206,3.567643695,glutathione S-transferase mu 3
NSG1,0.011390057,0.000360342,3.567544686,neuronal vesicle trafficking associated 1
IRF2BP1,0.011394549,0.000362291,-3.566130497,interferon regulatory factor 2 binding protein 1
PEBP1,0.011394549,0.000362095,3.566272539,phosphatidylethanolamine binding protein 1
SLC35B1,0.011506405,0.000367672,3.562262734,solute carrier family 35 member B1
UBE2D4,0.011506405,0.000367394,-3.562461475,ubiquitin conjugating enzyme E2 D4 (putative)
ATP6V1B2,0.011720674,0.000376378,3.55611631,ATPase H+ transporting V1 subunit B2
PHEX,0.011720674,0.00037624,-3.556212411,phosphate regulating endopeptidase homolog X-linked
ASIC1,0.012018844,0.000386905,-3.548858183,acid sensing ion channel subunit 1
S100A12,0.012056282,0.000389067,-3.547391135,S100 calcium binding protein A12
MAP2K1,0.012069933,0.000391421,3.545801408,mitogen-activated protein kinase kinase 1
ROBO3,0.012069933,0.000391106,-3.546013838,roundabout guidance receptor 3
GLTP,0.012088709,0.000392988,-3.544748082,glycolipid transfer protein
SF3B1,0.012141708,0.000395674,3.542952403,splicing factor 3b subunit 1
SH2D3C,0.012180715,0.000397911,-3.541465369,SH2 domain containing 3C
BRAP,0.012243278,0.000402559,3.538400258,BRCA1 associated protein
FBXO24,0.012243278,0.000401481,-3.53910811,F-box protein 24
PAX6,0.012243278,0.000402867,-3.538198462,paired box 6
MCCC1,0.012347098,0.000408241,3.534698059,methylcrotonoyl-CoA carboxylase 1
RAF1,0.012347098,0.000407351,-3.535274777,"Raf-1 proto-oncogene, serine/threonine kinase"
UBE2Z,0.012399797,0.000410967,-3.532939216,ubiquitin conjugating enzyme E2 Z
CDC40,0.012524065,0.000416079,3.529669801,cell division cycle 40
ASIC4,0.012524446,0.000417358,-3.528857627,acid sensing ion channel subunit family member 4
VAPA,0.012524446,0.000418077,-3.528401596,VAMP associated protein A
LAMTOR3,0.012548978,0.000419891,3.527255553,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
RAD51C,0.01256707,0.000421493,3.526247365,RAD51 paralog C
LDLRAD4,0.012570137,0.000422593,3.525557378,low density lipoprotein receptor class A domain containing 4
UNC13A,0.012585976,0.000424123,3.524599784,unc-13 homolog A
TSC2,0.01263595,0.000426809,-3.522926965,TSC complex subunit 2
RWDD2B,0.012661149,0.000428664,3.521777341,RWD domain containing 2B
HDAC2,0.012664489,0.000430318,-3.520756289,histone deacetylase 2
PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2,0.012664489,0.000430785,3.520468332,NA
TOP1,0.01272489,0.000433849,-3.518588592,DNA topoisomerase I
CCDC85C,0.012955972,0.000443782,-3.512577772,coiled-coil domain containing 85C
SGCE,0.012955972,0.000443377,3.512820479,sarcoglycan epsilon
MTX2,0.012986235,0.000445848,3.511343213,metaxin 2
OSBPL9,0.013012148,0.00044777,3.510199996,oxysterol binding protein like 9
PTMS,0.013208129,0.000455561,-3.505610675,parathymosin
ATP6V1A,0.013385183,0.000465218,3.500023229,ATPase H+ transporting V1 subunit A
KIAA1045,0.013385183,0.000465649,3.499776049,NA
PRPF18,0.013385183,0.000465913,-3.499625027,pre-mRNA processing factor 18
SEMA6A,0.013385183,0.000464685,-3.500328562,semaphorin 6A
A4GALT,0.013403478,0.000469715,-3.497457624,"alpha 1,4-galactosyltransferase (P blood group)"
C1orf216,0.013403478,0.000469738,3.49744467,chromosome 1 open reading frame 216
SLIT2,0.013403478,0.000468475,3.498162605,slit guidance ligand 2
NARS,0.01342972,0.000471723,3.496319992,asparaginyl-tRNA synthetase
GGPS1,0.013431659,0.000472856,-3.49567981,geranylgeranyl diphosphate synthase 1
RAB27B,0.013436288,0.000474084,3.494987434,"RAB27B, member RAS oncogene family"
CX3CL1,0.013497534,0.000479456,3.491979129,C-X3-C motif chemokine ligand 1
EPCAM,0.013497534,0.000479295,3.492068813,epithelial cell adhesion molecule
GPR4,0.013497534,0.000478814,-3.49233689,G protein-coupled receptor 4
USP48,0.013539059,0.000482004,-3.490562842,ubiquitin specific peptidase 48
ANKRD6,0.013608141,0.000488813,3.486812744,ankyrin repeat domain 6
CEP57,0.013608141,0.000485914,-3.488403574,centrosomal protein 57
DDX24,0.013608141,0.000488529,-3.486968395,DEAD-box helicase 24
FBXL2,0.013608141,0.000489219,3.48659069,F-box and leucine rich repeat protein 2
PMS2P8,0.013608141,0.000489859,-3.486241515,"PMS1 homolog 2, mismatch repair system component pseudogene 8"
EFNA1,0.013706453,0.000494484,-3.483726617,ephrin A1
LSR,0.013856364,0.000500991,-3.480225848,lipolysis stimulated lipoprotein receptor
OPN3,0.013884101,0.000503095,3.479103087,opsin 3
PJA1,0.013910699,0.000505162,3.478004324,praja ring finger ubiquitin ligase 1
PRKCDBP,0.013958576,0.000508007,-3.476498442,NA
LIMS2,0.014009365,0.000510966,-3.474940649,LIM zinc finger domain containing 2
SPOCK1,0.014085133,0.000514847,3.472910666,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
RRAGB,0.014115276,0.000517068,3.471755164,Ras related GTP binding B
CD248,0.014198951,0.00052351,-3.46842927,CD248 molecule
EP300,0.014198951,0.000521703,-3.469358224,E1A binding protein p300
PET112,0.014198951,0.000522988,3.46869733,NA
NOP10,0.014243709,0.000527419,3.466429881,NOP10 ribonucleoprotein
RPL24,0.014243709,0.000526778,3.466756926,ribosomal protein L24
DSPP,0.014262076,0.00052923,-3.465508281,dentin sialophosphoprotein
ATP5J2-PTCD1 /// PTCD1,0.014379399,0.000535864,-3.462157195,NA
ITGA10,0.014379399,0.000535312,-3.462434385,integrin subunit alpha 10
ETFDH,0.014470318,0.000540692,3.459742372,electron transfer flavoprotein dehydrogenase
FLRT1,0.014470318,0.000542694,-3.458747069,fibronectin leucine rich transmembrane protein 1
MYCN,0.014470318,0.000541737,-3.459222589,"MYCN proto-oncogene, bHLH transcription factor"
CDC25A,0.014542379,0.00054655,-3.456839677,cell division cycle 25A
GARS,0.014580424,0.000549136,3.455567406,glycyl-tRNA synthetase
GP6,0.014602454,0.000551123,-3.454593351,glycoprotein VI platelet
RPS21,0.01498843,0.000566967,-3.446943403,ribosomal protein S21
SPG21,0.01498843,0.000568068,-3.446419545,"SPG21, maspardin"
FOXF1,0.015015699,0.000570292,-3.445363562,forkhead box F1
NMU,0.015099188,0.00057466,3.443300744,neuromedin U
TPP1,0.015172359,0.000578648,-3.441430232,tripeptidyl peptidase 1
RPS19,0.01520682,0.000581168,-3.440254364,ribosomal protein S19
COPE,0.015307544,0.000586231,-3.437906129,coatomer protein complex subunit epsilon
PSMD5,0.015357502,0.000589362,-3.436463482,"proteasome 26S subunit, non-ATPase 5"
IL1RAPL2,0.015482319,0.000595379,-3.433710646,interleukin 1 receptor accessory protein like 2
RPS6KB2,0.015525907,0.000598287,-3.432389961,ribosomal protein S6 kinase B2
TMEM40,0.015713637,0.000606767,-3.428571513,transmembrane protein 40
POM121C,0.015804068,0.000611512,-3.426456517,POM121 transmembrane nucleoporin C
NAP1L1,0.015827087,0.000613657,3.425505163,nucleosome assembly protein 1 like 1
PPP1R7,0.015903622,0.000617886,3.423639316,protein phosphatase 1 regulatory subunit 7
NUDT9,0.016061945,0.00062531,3.420391643,nudix hydrolase 9
EDC3,0.016065535,0.000626724,3.419777379,enhancer of mRNA decapping 3
NEUROD6,0.016074326,0.000628341,3.419076109,neuronal differentiation 6
MERTK,0.016116508,0.000631268,-3.417811441,"MER proto-oncogene, tyrosine kinase"
TMPRSS5,0.01615095,0.000633898,-3.416679793,transmembrane serine protease 5
RGP1,0.016294505,0.000640824,-3.413719914,"RGP1 homolog, RAB6A GEF complex partner 1"
MPP2,0.016311432,0.000642783,-3.412888149,membrane palmitoylated protein 2
NT5M,0.01640783,0.000647883,3.410733878,"5',3'-nucleotidase, mitochondrial"
MYO1C,0.016712505,0.000661238,-3.405165986,myosin IC
HAP1,0.016722842,0.000664299,-3.403904646,huntingtin associated protein 1
KIF1C,0.016722842,0.000663074,-3.404408811,kinesin family member 1C
CARM1,0.016831204,0.000669939,-3.401594951,coactivator associated arginine methyltransferase 1
TMBIM4,0.016930004,0.000675213,3.39945073,transmembrane BAX inhibitor motif containing 4
METTL22,0.017004843,0.000683591,-3.396076918,methyltransferase like 22
MTHFD1,0.017004843,0.000681342,3.396978905,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
R3HDM1,0.017004843,0.000683405,-3.396151627,R3H domain containing 1
ZBBX,0.017004843,0.000681207,3.397033245,zinc finger B-box domain containing
GOLGA2P7 /// LOC101929479 /// LOC642423 /// LOC727751 /// LOC80154,0.017044015,0.000686518,-3.394907629,NA
PRPF38B,0.017064196,0.000688683,-3.394045114,pre-mRNA processing factor 38B
TASP1,0.017204982,0.00069573,3.391256512,taspase 1
FDFT1,0.017244751,0.000698705,-3.390086776,farnesyl-diphosphate farnesyltransferase 1
C11orf21,0.017301672,0.000702987,-3.388411579,chromosome 11 open reading frame 21
RABGAP1,0.017301672,0.000703755,-3.388112092,RAB GTPase activating protein 1
LETM1,0.017421621,0.000712175,-3.384848611,leucine zipper and EF-hand containing transmembrane protein 1
MRPL48,0.017421621,0.000714715,3.383871303,mitochondrial ribosomal protein L48
SFXN1,0.017421621,0.000715541,-3.383554243,sideroflexin 1
SLIT3,0.017421621,0.000715428,3.383597632,slit guidance ligand 3
UBE2D2,0.017421621,0.00071035,3.385552797,ubiquitin conjugating enzyme E2 D2
BSCL2 /// HNRNPUL2-BSCL2,0.017504985,0.000720353,3.381713391,NA
SLC25A3,0.017619491,0.000726462,3.379392645,solute carrier family 25 member 3
TSR1,0.017624177,0.000728052,3.378791371,"TSR1, ribosome maturation factor"
TNFRSF14,0.017778635,0.000735843,-3.375864064,TNF receptor superfamily member 14
ANKRD12,0.017837971,0.000743546,-3.372997575,ankyrin repeat domain 12
MFSD9,0.017837971,0.000740905,3.373977179,major facilitator superfamily domain containing 9
SARS,0.017837971,0.000741378,3.37380168,seryl-tRNA synthetase
TCFL5,0.017837971,0.000743956,-3.372845827,transcription factor like 5
ATP6V0B,0.017855539,0.000746104,3.372051699,ATPase H+ transporting V0 subunit b
UROD,0.017903796,0.00074954,-3.370786046,uroporphyrinogen decarboxylase
RPA3,0.018008012,0.000755331,3.368665156,replication protein A3
SIRT5,0.018021264,0.000757316,-3.367941721,sirtuin 5
RNF122,0.018110987,0.000762523,-3.366052282,ring finger protein 122
ZNF638 /// ZNF638-IT1,0.018163045,0.000766154,-3.364741354,NA
C11orf24,0.01817287,0.000770029,3.363349247,chromosome 11 open reading frame 24
TMEM212,0.01817287,0.000768042,-3.364062228,transmembrane protein 212
TMEM246,0.01817287,0.000770892,3.363040095,transmembrane protein 246
APOD,0.018259538,0.000777504,-3.360681624,apolipoprotein D
CAV1,0.018259538,0.000784703,-3.358135056,caveolin 1
GTF2I /// GTF2IP1 /// LOC100093631,0.018259538,0.000784673,-3.358145381,NA
MKRN1,0.018259538,0.000784154,3.358328373,makorin ring finger protein 1
NACAP1,0.018259538,0.000784322,-3.358269131,nascent polypeptide associated complex alpha subunit pseudogene 1
TXNL1,0.018259538,0.000781375,-3.359309652,thioredoxin like 1
VSNL1,0.018259538,0.000779415,3.360003618,visinin like 1
NUPR1,0.018346793,0.000789907,-3.356307422,"nuclear protein 1, transcriptional regulator"
G0S2,0.018400019,0.000793658,-3.354997283,G0/G1 switch 2
KARS,0.018433119,0.000796547,3.353991908,lysyl-tRNA synthetase
LZTR1,0.018465551,0.000799413,-3.352998106,leucine zipper like transcription regulator 1
MED27,0.018467289,0.000802416,-3.351959935,mediator complex subunit 27
PRKCZ,0.018467289,0.000801333,3.352333893,protein kinase C zeta
RAPGEF3,0.018553401,0.000807629,-3.350166838,Rap guanine nucleotide exchange factor 3
DLGAP2,0.018815185,0.00082107,-3.345592249,DLG associated protein 2
FGR,0.018815185,0.0008235,-3.344772798,"FGR proto-oncogene, Src family tyrosine kinase"
NRIP2,0.018815185,0.000823091,-3.34491058,nuclear receptor interacting protein 2
MFF,0.01883652,0.000825927,3.343956349,mitochondrial fission factor
LOC101930578 /// MRPS31P5 /// THSD1,0.019043564,0.000836516,-3.340420729,NA
USP4,0.019234166,0.000846413,-3.337153095,ubiquitin specific peptidase 4
CNOT6,0.019312558,0.000851394,-3.335522022,CCR4-NOT transcription complex subunit 6
BHMT2,0.019334654,0.0008585,-3.333210271,betaine--homocysteine S-methyltransferase 2
DECR1,0.019334654,0.000855105,3.334312607,"2,4-dienoyl-CoA reductase 1"
INHBB,0.019334654,0.000855611,-3.334148107,inhibin beta B subunit
PALM,0.019334654,0.000857156,-3.333646147,paralemmin
TSPAN31,0.019362755,0.000861283,-3.332309756,tetraspanin 31
CHD4,0.01940473,0.000870843,-3.329236759,chromodomain helicase DNA binding protein 4
COPS7A,0.01940473,0.000869453,3.329681682,COP9 signalosome subunit 7A
HMGB1P4 /// HMGB1P4,0.01940473,0.000866677,-3.330572273,NA
MICAL3,0.01940473,0.000867901,-3.330179073,"microtubule associated monooxygenase, calponin and LIM domain containing 3"
PPP1R13L,0.01940473,0.000869013,-3.329822805,protein phosphatase 1 regulatory subunit 13 like
FCER1G,0.019564966,0.000879586,3.326453877,Fc fragment of IgE receptor Ig
FABP3,0.019713674,0.000887834,3.323851571,fatty acid binding protein 3
ARMCX4,0.02005123,0.000906249,3.318121897,"armadillo repeat containing, X-linked 4"
ATXN10,0.02005123,0.000909396,3.317153587,ataxin 10
KCND1,0.02005123,0.000909103,-3.317243737,potassium voltage-gated channel subfamily D member 1
NRN1,0.02005123,0.000905408,3.318381136,neuritin 1
UNC13B,0.020083731,0.000912463,3.316212999,unc-13 homolog B
GLIPR1,0.020219285,0.000920918,3.313634386,GLI pathogenesis related 1
INPPL1,0.020219285,0.000923262,-3.312923577,inositol polyphosphate phosphatase like 1
KIFC3,0.020219285,0.000923431,-3.312872485,kinesin family member C3
ACOXL,0.02028239,0.000937014,-3.308786104,acyl-CoA oxidase like
ADRA2C,0.02028239,0.000931284,-3.310503087,adrenoceptor alpha 2C
FOXJ1,0.02028239,0.000930142,-3.31084646,forkhead box J1
PARP2,0.02028239,0.000934328,3.309589791,poly(ADP-ribose) polymerase 2
RNF38,0.02028239,0.000934902,-3.30941788,ring finger protein 38
TMEM14A,0.02028239,0.000929524,3.311032545,transmembrane protein 14A
TRAF3IP2,0.02028239,0.00093757,-3.308619971,TRAF3 interacting protein 2
ATP5E,0.020466781,0.000947716,-3.305604823,NA
C12orf29,0.020497521,0.000950765,3.304704709,chromosome 12 open reading frame 29
IPO7,0.020688086,0.000967118,3.299921833,importin 7
KIF22,0.020688086,0.000967806,-3.299722097,kinesin family member 22
NRXN2,0.020688086,0.000965132,-3.300498478,neurexin 2
RASA1,0.020688086,0.000963498,3.300973958,RAS p21 protein activator 1
TTC31,0.020688086,0.000962548,-3.301250755,tetratricopeptide repeat domain 31
ZMYND11,0.020749539,0.000972326,3.298414122,zinc finger MYND-type containing 11
ZNF274,0.020972651,0.000984444,-3.294935099,zinc finger protein 274
CTSB,0.021083428,0.000991316,3.292979899,cathepsin B
CHKB-CPT1B /// CPT1B,0.021167727,0.001001993,-3.289966587,NA
GUK1,0.021167727,0.001001724,-3.290042164,guanylate kinase 1
NPY5R,0.021167727,0.000998741,3.290881136,neuropeptide Y receptor Y5
PMS2P1,0.021167727,0.000997137,-3.2913332,"PMS1 homolog 2, mismatch repair system component pseudogene 1"
GYPE,0.021186748,0.001004573,-3.289242848,glycophorin E (MNS blood group)
C5orf66,0.021189129,0.001006366,-3.288740955,chromosome 5 open reading frame 66
FADS3,0.021189821,0.001008079,3.288262211,fatty acid desaturase 3
SLC20A1,0.021276304,0.00101388,-3.286646467,solute carrier family 20 member 1
PDS5A,0.021285091,0.001015987,3.286061917,PDS5 cohesin associated factor A
COIL,0.021407955,0.001023549,-3.28397259,coilin
SCN3B,0.021413171,0.001025496,3.283436906,sodium voltage-gated channel beta subunit 3
ADAM17,0.021465448,0.001030897,3.28195592,ADAM metallopeptidase domain 17
PA2G4P2 /// PA2G4P2,0.021465448,0.001033106,-3.281352476,NA
XRCC2,0.021465448,0.001032656,-3.281475203,X-ray repair cross complementing 2
RAI2,0.021500145,0.00103648,-3.280432622,retinoic acid induced 2
EXTL2,0.021578712,0.001041979,3.278939769,exostosin like glycosyltransferase 2
AP2S1,0.021623551,0.001047573,3.277428406,adaptor related protein complex 2 sigma 1 subunit
NRGN,0.021623551,0.001046605,3.277689427,neurogranin
ANG,0.021932563,0.001073817,-3.270436256,angiogenin
C17orf62,0.021932563,0.001068079,-3.271951552,NA
CDC42BPB,0.021932563,0.001075808,-3.269912378,CDC42 binding protein kinase beta
IFITM1,0.021932563,0.001076455,-3.269742182,interferon induced transmembrane protein 1
MACF1,0.021932563,0.001072141,-3.270878105,microtubule-actin crosslinking factor 1
MDH1,0.021932563,0.001068818,3.271755897,malate dehydrogenase 1
ST6GALNAC2,0.021932563,0.001074477,-3.270262485,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
TAF11,0.021932563,0.001072019,-3.27091021,TATA-box binding protein associated factor 11
NDUFA2,0.022093547,0.001086108,-3.267215838,NADH:ubiquinone oxidoreductase subunit A2
RIN2,0.022210636,0.001093626,-3.265262822,Ras and Rab interactor 2
NIF3L1,0.022235075,0.001096592,3.264495542,NGG1 interacting factor 3 like 1
WDR11,0.022236444,0.001098422,-3.264022997,WD repeat domain 11
HSPB3,0.022307313,0.001103692,3.262666804,heat shock protein family B (small) member 3
CENPF,0.022386639,0.001114077,-3.260011565,centromere protein F
LRCH4,0.022386639,0.001112489,-3.26041601,leucine rich repeats and calponin homology domain containing 4
PDCD6IP,0.022386639,0.001112894,3.260312817,programmed cell death 6 interacting protein
ZNF551,0.022386639,0.001114717,-3.259848632,zinc finger protein 551
SMAD1,0.022441167,0.001119211,-3.258707137,SMAD family member 1
PGAM2,0.02256049,0.001126951,-3.256751309,phosphoglycerate mutase 2
NLGN3,0.022611239,0.001132713,-3.255303275,neuroligin 3
YARS2,0.022611239,0.001133072,3.255213404,tyrosyl-tRNA synthetase 2
IL27RA,0.022747357,0.001141697,3.253059326,interleukin 27 receptor subunit alpha
CAPRIN2,0.02285175,0.001148748,3.251309336,caprin family member 2
WWTR1,0.02291192,0.001153589,-3.250113545,WW domain containing transcription regulator 1
CREG1,0.022944752,0.001157062,3.249258766,cellular repressor of E1A stimulated genes 1
TNFRSF1B,0.023040789,0.001163732,-3.247623472,TNF receptor superfamily member 1B
ISG20,0.023047575,0.001165902,-3.247093273,interferon stimulated exonuclease gene 20
JUNB,0.02306126,0.001168423,-3.246478546,"JunB proto-oncogene, AP-1 transcription factor subunit"
STMN2,0.023109248,0.001172686,3.245441587,stathmin 2
PRSS23,0.023266061,0.001184333,-3.242626583,serine protease 23
RABGGTB,0.023266061,0.001182775,3.243001757,Rab geranylgeranyltransferase beta subunit
ARC,0.023441893,0.001197001,3.239593722,activity regulated cytoskeleton associated protein
ZNF506,0.023441893,0.001195879,-3.239861118,zinc finger protein 506
MAGED1,0.023534232,0.001203582,3.238029822,MAGE family member D1
DHRS7B,0.023581607,0.001207875,3.237013987,dehydrogenase/reductase 7B
SAP130,0.023591635,0.001210259,3.23645122,Sin3A associated protein 130
COPS5,0.023747778,0.001220152,3.234126908,COP9 signalosome subunit 5
ITPR1,0.024010671,0.001237467,3.230100482,"inositol 1,4,5-trisphosphate receptor type 1"
TRIP10,0.024010671,0.001236116,-3.230412854,thyroid hormone receptor interactor 10
TRIM33,0.024165996,0.001247388,-3.22781677,tripartite motif containing 33
MDH2,0.024418256,0.001262346,3.224405391,malate dehydrogenase 2
FAM172A,0.024598729,0.001273626,-3.221857209,family with sequence similarity 172 member A
CUTC,0.024620714,0.001276716,3.221162724,cutC copper transporter
RDH11,0.024674898,0.001281483,-3.220094693,retinol dehydrogenase 11
SCAF11,0.024761028,0.001287919,-3.218658208,SR-related CTD associated factor 11
C7orf43,0.025085982,0.001312777,-3.213171801,chromosome 7 open reading frame 43
CSNK1D,0.025085982,0.001311596,-3.213430304,casein kinase 1 delta
FKSG49,0.025085982,0.001311942,-3.213354632,hepatocellular carcinoma-associated antigen HCA25b
HMP19,0.025085982,0.001308543,3.214099523,NA
JUN,0.025190559,0.001324242,-3.210673706,"Jun proto-oncogene, AP-1 transcription factor subunit"
MICB,0.025190559,0.001320638,-3.211456877,MHC class I polypeptide-related sequence B
SFPQ,0.025190559,0.001323865,-3.210755444,splicing factor proline and glutamine rich
NHP2,0.025229731,0.001328302,3.209793909,NHP2 ribonucleoprotein
FOXJ3,0.025509285,0.001345042,-3.206191936,forkhead box J3
MKKS,0.025521215,0.001347695,3.205625002,McKusick-Kaufman syndrome
C14orf2,0.02574566,0.001365301,3.20188798,NA
MAGED2,0.02574566,0.001365671,3.201809812,MAGE family member D2
ZFP36,0.02574566,0.001365341,-3.201879416,ZFP36 ring finger protein
COG7,0.025953762,0.001382594,3.198260292,component of oligomeric golgi complex 7
NBPF10 /// NBPF14 /// NBPF26 /// NBPF9,0.025953762,0.001382884,-3.198199944,NA
TEFM,0.025953762,0.001379397,-3.198927848,"transcription elongation factor, mitochondrial"
DYNLT3,0.026299203,0.001403375,3.193956037,dynein light chain Tctex-type 3
PPEF1,0.026313923,0.001406953,3.19322093,protein phosphatase with EF-hand domain 1
TGOLN2,0.026313923,0.001408333,-3.192937721,trans-golgi network protein 2
SNX11,0.02634332,0.001411995,-3.19218773,sorting nexin 11
PPP1R3D,0.02636122,0.001415045,-3.191564548,protein phosphatase 1 regulatory subunit 3D
DAD1,0.026469513,0.001422957,3.189953531,defender against cell death 1
NFATC4,0.026478461,0.001427637,-3.189004483,nuclear factor of activated T cells 4
TPX2,0.026478461,0.0014269,3.189153775,"TPX2, microtubule nucleation factor"
CCT7,0.026515494,0.001438043,3.186904401,chaperonin containing TCP1 subunit 7
DZIP3,0.026515494,0.001437028,3.187108659,DAZ interacting zinc finger protein 3
RSRC2,0.026515494,0.001437177,-3.187078724,arginine and serine rich coiled-coil 2
WDR12,0.026515494,0.001436685,-3.187177694,WD repeat domain 12
BSN,0.026611856,0.001445379,3.185432315,bassoon presynaptic cytomatrix protein
INSIG2,0.026885643,0.001462381,3.182046938,insulin induced gene 2
FXYD3,0.026990028,0.001474479,-3.179660087,FXYD domain containing ion transport regulator 3
LPGAT1,0.026990028,0.001473461,-3.179860311,lysophosphatidylglycerol acyltransferase 1
RAP2C,0.026990028,0.001472865,3.179977442,"RAP2C, member of RAS oncogene family"
FSD1,0.027081802,0.00148164,3.178255745,fibronectin type III and SPRY domain containing 1
ACTL6B,0.027249355,0.001493994,3.175847633,actin like 6B
CDC14A,0.027249355,0.001497289,-3.175208536,cell division cycle 14A
NT5DC3,0.027249355,0.001495882,-3.175481214,5'-nucleotidase domain containing 3
CDK5RAP2,0.02727738,0.001501295,-3.17443313,CDK5 regulatory subunit associated protein 2
IRF7,0.02727738,0.001503154,-3.174073916,interferon regulatory factor 7
DGKB,0.027321432,0.001507748,-3.173188128,diacylglycerol kinase beta
ERC2-IT1,0.027414637,0.001515065,-3.171782337,ERC2 intronic transcript 1
BEX4,0.027434012,0.001519726,3.170890122,brain expressed X-linked 4
CDK5R2,0.027434012,0.001520486,-3.170744839,cyclin dependent kinase 5 regulatory subunit 2
HSP90B1,0.027535905,0.00152963,-3.169002664,heat shock protein 90 beta family member 1
MMADHC,0.027535905,0.0015305,3.168837337,"methylmalonic aciduria and homocystinuria, cblD type"
CDK7,0.027552381,0.001535346,3.16791836,cyclin dependent kinase 7
FAM212B /// LOC101928718,0.027552381,0.00153797,-3.167421952,NA
